Date,Combined Economy Score,InvertandBearFinal
2013-08-14,69.46265359333294,0.0
2013-08-15,65.26018917679289,0.0
2013-08-16,64.95294687794004,0.0
2013-08-19,64.60020917993306,0.0
2013-08-20,64.79082006693262,0.0
2013-08-21,67.6855513782757,0.0
2013-08-22,67.28724410383336,0.0
2013-08-23,67.59030774917693,0.0
2013-08-26,67.5658663350118,0.0
2013-08-27,67.84238687655541,0.0
2013-08-28,67.47491262534415,0.0
2013-08-29,67.5209643541075,0.0
2013-08-30,67.42935541178899,0.0
2013-09-02,66.42332603511305,0.0
2013-09-03,65.9474416873848,0.0
2013-09-04,65.62442435339045,0.0
2013-09-05,64.99055475952343,0.0
2013-09-06,65.1151416847886,0.0
2013-09-09,65.25227075202163,0.0
2013-09-10,64.79657498766804,0.0
2013-09-11,64.91676690902032,0.0
2013-09-12,65.59845612352001,0.0
2013-09-13,65.51479651317327,0.0
2013-09-16,65.51253410609577,0.0
2013-09-17,68.4701553890413,0.0
2013-09-18,69.45634234298834,0.0
2013-09-19,69.1456384376781,0.0
2013-09-20,69.12946779037006,0.0
2013-09-23,69.13893775660704,0.0
2013-09-24,69.38534232197144,0.0
2013-09-25,69.4216150124927,0.0
2013-09-26,69.17854842478361,0.0
2013-09-27,69.21542689643492,0.0
2013-09-30,67.45285106561846,0.0
2013-10-01,67.194256700372,0.0
2013-10-02,67.21376532533537,0.0
2013-10-03,67.2451546781757,0.0
2013-10-04,66.84132119628174,0.0
2013-10-07,66.84985158362315,0.0
2013-10-08,66.77687350177347,0.0
2013-10-09,66.6234377955501,0.0
2013-10-10,66.95305690757387,0.0
2013-10-11,66.90658484088355,0.0
2013-10-14,73.45923278438025,0.0
2013-10-15,73.16146045176437,0.0
2013-10-16,73.49622252195338,0.0
2013-10-17,73.81597605557361,0.0
2013-10-18,73.65821334127854,0.0
2013-10-21,73.46090177320791,0.0
2013-10-22,73.86563156391671,0.0
2013-10-23,73.88279124164114,0.0
2013-10-24,73.67811139696838,0.0
2013-10-25,73.69111714694397,0.0
2013-10-28,73.60304398836406,0.0
2013-10-29,73.55704171112151,0.0
2013-10-30,76.10351068709178,0.0
2013-10-31,75.96473735679149,0.0
2013-11-01,75.70140800842654,0.0
